date,city,avg_NO2
2022-08-29,Paris,11.9
2022-08-30,Paris,22.55
2022-08-31,Paris,26.94
2022-09-01,Paris,22.57
2022-09-02,Paris,35.57
2022-09-03,Paris,25.55
2022-09-04,Paris,24.51
2022-09-05,Paris,41.42
2022-09-06,Paris,30.5
2022-09-07,Paris,23.67
2022-09-08,Paris,10.33
2022-09-09,Paris,11.86
2022-09-10,Paris,18.12
2022-09-11,Paris,26.13
2022-09-12,Paris,26.2
2022-09-13,Paris,47.91
2022-09-14,Paris,29.8
2022-09-15,Paris,24.08
2022-09-16,Paris,29.0
2022-09-17,Paris,27.48
2022-09-18,Paris,26.43
2022-09-19,Paris,36.35
2022-09-20,Paris,40.13
2022-09-21,Paris,32.84
2022-09-22,Paris,53.91
2022-09-23,Paris,57.59
2022-09-24,Paris,36.38
2022-09-25,Paris,23.44
2022-09-26,Paris,17.3
2022-09-27,Paris,19.39
2022-09-28,Paris,33.43
2022-09-29,Paris,53.84
2022-09-30,Paris,24.22
2022-10-01,Paris,11.14
2022-10-02,Paris,20.8
2022-10-03,Paris,31.75
2022-10-04,Paris,33.04
2022-10-05,Paris,17.64
2022-10-06,Paris,52.63
2022-10-07,Paris,55.92
2022-10-08,Paris,33.86
2022-10-09,Paris,26.61
2022-10-10,Paris,26.95
2022-10-11,Paris,30.43
2022-10-12,Paris,61.45
2022-10-13,Paris,28.83
2022-10-14,Paris,22.47
2022-10-15,Paris,14.75
2022-10-16,Paris,19.69
2022-10-17,Paris,25.4
2022-10-18,Paris,24.58
2022-10-19,Paris,15.15
2022-10-20,Paris,20.01
2022-10-21,Paris,20.23
2022-10-22,Paris,19.91
2022-10-23,Paris,12.02
2022-10-24,Paris,9.97
2022-10-25,Paris,20.31
2022-10-26,Paris,23.98
2022-10-27,Paris,24.18
2022-10-28,Paris,27.49
2022-10-29,Paris,27.15
2022-10-30,Paris,29.36
2022-10-31,Paris,21.06
2022-11-01,Paris,12.4
2022-11-02,Paris,21.82
2022-11-03,Paris,25.96
2022-11-04,Paris,28.17
2022-11-05,Paris,28.92
2022-11-06,Paris,13.15
2022-11-07,Paris,16.81
2022-11-08,Paris,15.34
2022-11-09,Paris,25.3
2022-11-10,Paris,26.12
2022-11-11,Paris,30.0
2022-11-12,Paris,23.5
2022-11-13,Paris,27.22
2022-11-14,Paris,27.38
2022-11-15,Paris,20.45
2022-11-16,Paris,14.45
2022-11-17,Paris,15.82
2022-11-18,Paris,28.84
2022-11-19,Paris,41.26
2022-11-20,Paris,23.87
2022-11-21,Paris,21.8
2022-11-22,Paris,14.47
2022-11-23,Paris,20.52
2022-11-24,Paris,20.03
2022-11-25,Paris,36.45
2022-11-26,Paris,26.16
2022-11-27,Paris,23.4
2022-11-28,Paris,32.36
2022-11-29,Paris,56.61
2022-11-30,Paris,42.58
2022-12-01,Paris,32.99
2022-12-02,Paris,36.7
2022-12-03,Paris,28.24
2022-12-04,Paris,29.67
2022-12-05,Paris,48.67
2022-12-06,Paris,57.98
2022-12-07,Paris,63.35
2022-12-08,Paris,63.61
2022-12-09,Paris,64.43
2022-12-11,Paris,35.68
2022-12-12,Paris,39.94
2022-12-13,Paris,40.55
2022-12-14,Paris,44.51
2022-12-15,Paris,51.07
2022-12-16,Paris,56.64
2022-12-17,Paris,44.81
2022-12-18,Paris,31.56
2022-12-19,Paris,22.48
2022-12-20,Paris,19.67
2022-12-21,Paris,21.43
2022-12-22,Paris,15.03
2022-12-23,Paris,19.68
2022-12-24,Paris,21.06
2022-12-25,Paris,19.36
2022-12-26,Paris,33.74
2022-12-27,Paris,33.38
2022-12-28,Paris,12.17
2022-12-29,Paris,19.6
2022-12-30,Paris,14.16
2022-12-31,Paris,9.51
2023-01-01,Paris,19.58
2023-01-02,Paris,30.73
2023-01-03,Paris,24.82
2023-01-04,Paris,13.88
2023-01-05,Paris,27.62
2023-01-06,Paris,23.52
2023-01-07,Paris,14.06
2023-01-08,Paris,11.48
2023-01-09,Paris,18.45
2023-01-10,Paris,21.95
2023-01-11,Paris,20.2
2023-01-12,Paris,11.42
2023-01-13,Paris,20.85
2023-01-14,Paris,11.39
2023-01-15,Paris,10.73
2023-01-16,Paris,23.26
2023-01-17,Paris,42.47
2023-01-18,Paris,47.3
2023-01-19,Paris,44.28
2023-01-20,Paris,46.51
2023-01-21,Paris,33.82
2023-01-22,Paris,33.35
2023-01-23,Paris,31.81
2023-01-24,Paris,40.0
2023-01-25,Paris,59.83
2023-01-26,Paris,69.84
2023-01-27,Paris,30.54
2023-01-28,Paris,40.73
2023-01-29,Paris,62.79
2023-01-30,Paris,46.47
2023-01-31,Paris,49.24
2023-02-01,Paris,32.19
2023-02-02,Paris,37.07
2023-02-03,Paris,38.81
2023-02-04,Paris,44.11
2023-02-05,Paris,33.22
2023-02-06,Paris,37.28
2023-02-07,Paris,38.17
2023-02-08,Paris,55.21
2023-02-09,Paris,87.08
2023-02-10,Paris,59.22
2023-02-11,Paris,79.44
2023-02-12,Paris,38.69
2023-02-13,Paris,50.65
2023-02-14,Paris,60.35
2023-02-15,Paris,44.77
2023-02-16,Paris,33.74
2023-02-17,Paris,28.55
2023-02-18,Paris,18.66
2023-02-19,Paris,38.21
2023-02-20,Paris,79.14
2023-02-21,Paris,81.83
2023-02-22,Paris,36.74
2023-02-23,Paris,42.5
2023-02-25,Paris,27.05
2023-02-26,Paris,17.17
2023-02-27,Paris,25.08
2023-02-28,Paris,38.22
2023-03-01,Paris,40.68
2023-03-02,Paris,53.25
2023-03-03,Paris,44.44
2023-03-04,Paris,45.26
2023-03-05,Paris,51.91
2023-03-06,Paris,41.83
2023-03-07,Paris,21.76
2023-03-08,Paris,13.18
2023-03-09,Paris,11.62
2023-03-10,Paris,26.84
2023-03-11,Paris,37.79
2023-03-12,Paris,13.94
2023-03-13,Paris,9.23
2023-03-14,Paris,27.54
2023-03-15,Paris,44.3
2023-03-16,Paris,28.7
2023-03-17,Paris,29.57
2023-03-18,Paris,16.51
2023-03-19,Paris,35.24
2023-03-20,Paris,47.92
2023-03-21,Paris,30.1
2023-03-22,Paris,12.85
2023-03-23,Paris,10.01
2023-03-24,Paris,9.87
2023-03-25,Paris,13.58
2023-03-26,Paris,13.26
2023-03-27,Paris,41.54
2023-03-28,Paris,32.02
2023-03-29,Paris,22.88
2023-03-30,Paris,11.76
2023-03-31,Paris,8.19
2023-04-01,Paris,12.15
2023-04-02,Paris,15.34
2023-04-03,Paris,20.05
2023-04-04,Paris,36.67
2023-04-05,Paris,81.4
2023-04-06,Paris,40.27
2023-04-07,Paris,37.47
2023-04-08,Paris,31.69
2023-04-09,Paris,31.46
2023-04-10,Paris,20.15
2023-04-11,Paris,15.81
2023-04-12,Paris,10.86
2023-04-13,Paris,22.71
2023-04-14,Paris,23.49
2023-04-15,Paris,26.13
2023-04-16,Paris,30.04
2023-04-17,Paris,28.7
2023-04-18,Paris,20.06
2023-04-19,Paris,17.09
2023-04-20,Paris,22.98
2023-04-21,Paris,46.37
2023-04-22,Paris,21.15
2023-04-23,Paris,13.78
2023-04-24,Paris,20.73
2023-04-25,Paris,39.14
2023-04-26,Paris,35.34
2023-04-27,Paris,25.5
2023-04-28,Paris,23.28
2023-04-29,Paris,24.82
2023-04-30,Paris,35.41
2023-05-01,Paris,34.21
2023-05-02,Paris,21.47
2023-05-03,Paris,14.68
2023-05-04,Paris,13.53
2023-05-05,Paris,21.06
2023-05-06,Paris,26.69
2023-05-07,Paris,25.06
2023-05-08,Paris,30.34
2023-05-09,Paris,17.86
2023-05-10,Paris,19.38
2023-05-11,Paris,30.92
2023-05-12,Paris,28.83
2023-05-13,Paris,17.37
2023-05-14,Paris,18.25
2023-05-15,Paris,24.4
2023-05-16,Paris,16.84
2023-05-17,Paris,19.11
2023-05-18,Paris,18.78
2023-05-19,Paris,18.92
2023-05-20,Paris,13.91
2023-05-21,Paris,12.95
2023-05-22,Paris,19.66
2023-05-23,Paris,11.84
2023-05-24,Paris,17.34
2023-05-25,Paris,12.7
2023-05-26,Paris,13.61
2023-05-27,Paris,14.09
2023-05-28,Paris,12.77
2023-05-29,Paris,10.19
2023-05-30,Paris,10.23
2023-05-31,Paris,11.44
2023-06-01,Paris,9.54
2023-06-02,Paris,10.36
2023-06-03,Paris,8.25
2023-06-04,Paris,7.79
2023-06-05,Paris,11.49
2023-06-06,Paris,14.22
2023-06-07,Paris,12.4
2023-06-08,Paris,11.99
2023-06-09,Paris,15.06
2023-06-10,Paris,16.37
2023-06-11,Paris,29.79
2023-06-12,Paris,20.75
2023-06-13,Paris,24.58
2023-06-14,Paris,29.66
